month,revenue_gbp,profit_gbp,units,transactions
2024-01,132015.72,58866.73,1292,437
2024-02,108436.14,48575.5,1137,374
2024-03,118336.85,54042.78,1188,378
2024-04,117021.75,52896.5,1101,384
2024-05,132961.31,60519.71,1257,394
2024-06,113355.05,51226.27,1146,380
2024-07,119238.79,54879.87,1197,403
2024-08,110334.38,49189.590000000004,1179,372
2024-09,111527.06999999999,51052.81,1121,374
2024-10,121978.55,55888.54,1187,359
2024-11,133042.03,61705.48,1377,378
2024-12,132403.26,60936.58,1379,367
2025-01,119107.85,53540.2,1183,405
2025-02,120059.34,54632.98,1135,381
2025-03,131358.95,59214.45,1281,423
2025-04,118596.85,52471.72,1134,382
2025-05,117165.1,53799.34,1158,387
2025-06,109290.14,49612.76,1168,385
2025-07,121106.21,54421.07,1211,396
2025-08,127515.71,57574.83,1233,410
2025-09,117051.2,53301.36,1138,364
2025-10,136957.87,62121.86,1320,406
2025-11,126591.73,58262.84,1327,368
2025-12,162623.42,75179.07,1592,399
2026-01,116442.01,53072.27,1180,409
2026-02,98988.51,44770.25,1002,345
2026-03,119756.8,54314.66,1190,388
2026-04,114951.36,52667.31,1178,385
2026-05,116198.12,52747.38,1163,389
2026-06,124148.59,56025.55,1190,375
2026-07,125537.0,57551.29,1238,403
