transaction_id,date,product,region,channel,units,unit_price_gbp,discount_pct,inventory_on_hand,lead_time_days,customer_satisfaction,delivery_delay_days,gross_revenue_gbp,net_revenue_gbp,cost_gbp,profit_gbp
TXN-000001,2025-06-04,Plus,India,Online,2,75,0.09,42,20.0,3.35,5.0,150,136.5,60.35,76.15
TXN-000002,2025-09-13,Core,UAE,Online,2,45,0.019,187,4.0,3.13,1.0,90,88.29,38.8,49.49
TXN-000003,2025-12-14,Premium,Germany,Online,5,125,0.031,111,24.0,3.36,0.0,625,605.62,405.71,199.91
TXN-000004,2026-05-04,Core,India,Direct,3,45,0.1,112,34.0,3.78,0.0,135,121.5,68.39,53.11
TXN-000005,2024-02-12,Premium,India,Online,1,125,0.027,63,8.0,2.96,6.0,125,121.62,77.92,43.7
TXN-000006,2025-04-07,Premium,UK,Online,5,125,0.071,225,23.0,4.27,3.0,625,580.62,359.65,220.97
TXN-000007,2026-01-22,Premium,UAE,Online,1,125,0.031,120,15.0,4.36,5.0,125,121.12,65.04,56.08
TXN-000008,2025-06-03,Plus,UK,Online,3,75,0.01,36,33.0,4.21,5.0,225,222.75,130.99,91.76
TXN-000009,2024-08-14,Premium,US,Direct,4,125,0.024,136,25.0,2.44,0.0,500,488.0,301.06,186.94
TXN-000010,2025-03-18,Core,UAE,Online,4,45,0.04,155,21.0,2.26,0.0,180,172.8,91.81,80.99
TXN-000011,2025-09-24,Enterprise,India,Online,2,245,0.001,184,14.0,3.86,0.0,490,489.51,211.39,278.12
TXN-000012,2026-05-04,Plus,UK,Direct,2,75,0.013,209,33.0,4.14,4.0,150,148.05,68.1,79.95
TXN-000013,2024-03-12,Plus,UK,Partner,6,75,0.035,132,25.0,4.57,3.0,450,434.25,195.42,238.83
TXN-000014,2024-03-21,Enterprise,Germany,Online,1,245,0.02,299,27.0,4.02,1.0,245,240.1,130.62,109.48
TXN-000015,2026-07-20,Enterprise,India,Online,1,245,0.09,211,3.0,2.94,-0.0,245,222.95,111.16,111.79
TXN-000016,2026-05-26,Core,UK,Partner,2,45,0.197,12,8.0,4.66,3.0,90,72.27,47.87,24.4
TXN-000017,2026-07-07,Plus,UAE,Partner,3,75,0.035,227,20.0,4.32,4.0,225,217.12,100.93,116.19
TXN-000018,2024-09-20,Core,UK,Partner,2,45,0.044,74,6.0,3.47,3.0,90,86.04,46.19,39.85
TXN-000019,2025-08-23,Plus,Germany,Direct,6,75,0.013,180,17.0,3.71,4.0,450,444.15,253.63,190.52
TXN-000020,2024-01-05,Plus,UK,Partner,4,75,0.067,302,12.0,4.05,-0.0,300,279.9,133.81,146.09
TXN-000021,2026-07-17,Premium,UK,Online,3,125,0.029,143,19.0,2.75,2.0,375,364.12,208.17,155.95
TXN-000022,2024-04-01,Core,UK,Direct,3,45,0.007,255,32.0,,0.0,135,134.06,77.26,56.8
TXN-000023,2026-04-16,Plus,US,Partner,3,75,0.159,159,7.0,4.75,1.0,225,189.22,119.05,70.17
TXN-000024,2024-06-22,Enterprise,US,Online,1,245,0.035,104,22.0,4.05,0.0,245,236.42,132.4,104.02
TXN-000025,2025-09-08,Premium,US,Online,2,125,0.028,67,8.0,3.15,3.0,250,243.0,152.64,90.36
TXN-000026,2025-08-23,Plus,UK,Online,5,75,0.013,272,4.0,4.69,2.0,375,370.12,223.3,146.82
TXN-000027,2025-10-18,Enterprise,UK,Partner,3,245,0.024,177,19.0,4.54,1.0,735,717.36,460.7,256.66
TXN-000028,2024-04-21,Premium,India,Direct,3,125,0.018,266,25.0,4.67,2.0,375,368.25,237.05,131.2
TXN-000029,2024-09-22,Core,India,Online,6,45,0.041,198,26.0,3.8,3.0,270,258.93,124.63,134.3
TXN-000030,2026-04-09,Premium,UK,Online,3,125,0.009,186,8.0,3.82,3.0,375,371.62,205.34,166.28
TXN-000031,2024-02-24,Premium,UAE,Direct,3,125,0.059,271,9.0,4.06,0.0,375,352.88,189.64,163.24
TXN-000032,2024-10-28,Premium,UK,Partner,1,125,0.065,295,27.0,3.22,5.0,125,116.88,61.66,55.22
TXN-000033,2024-11-18,Core,UAE,Partner,1,45,0.085,263,15.0,3.97,1.0,45,41.18,25.58,15.6
TXN-000034,2024-11-23,Plus,US,Partner,5,75,0.021,160,23.0,4.52,4.0,375,367.12,160.42,206.7
TXN-000035,2024-12-08,Premium,US,Direct,3,125,0.031,229,25.0,4.44,8.0,375,363.38,183.94,179.44
TXN-000036,2025-04-28,Premium,UK,Online,1,125,0.034,39,9.0,5.0,1.0,125,120.75,52.58,68.17
TXN-000037,2025-01-14,Plus,UK,Online,4,75,0.02,248,21.0,2.92,1.0,300,294.0,136.45,157.55
TXN-000038,2025-02-24,Plus,UK,Partner,3,75,0.091,117,8.0,5.0,1.0,225,204.52,101.39,103.13
TXN-000039,2025-10-10,Premium,UK,Partner,1,125,0.014,73,28.0,3.01,0.0,125,123.25,76.22,47.03
TXN-000040,2024-11-02,Core,India,Direct,1,45,0.075,307,,3.97,1.0,45,41.62,21.23,20.39
TXN-000041,2024-09-13,Enterprise,India,Direct,1,245,0.074,303,30.0,4.42,0.0,245,226.87,126.0,100.87
TXN-000042,2025-01-26,Premium,US,Online,6,125,0.012,245,4.0,3.29,0.0,750,741.0,427.12,313.88
TXN-000043,2024-08-15,Premium,UK,Direct,1,125,0.014,208,22.0,4.68,1.0,125,123.25,62.13,61.12
TXN-000044,2026-04-30,Premium,US,Online,2,125,0.029,209,4.0,4.23,-0.0,250,242.75,136.15,106.6
TXN-000045,2025-07-23,Core,US,Direct,3,45,0.049,292,7.0,4.08,6.0,135,128.38,75.47,52.91
TXN-000046,2024-12-10,Core,UK,Partner,3,45,0.034,219,32.0,3.95,4.0,135,130.41,56.85,73.56
TXN-000047,2025-11-08,Enterprise,UAE,Online,5,245,0.081,196,2.0,4.66,0.0,1225,1125.78,543.09,582.69
TXN-000048,2025-04-06,Plus,UK,Direct,2,75,0.003,277,13.0,4.82,6.0,150,149.55,99.18,50.37
TXN-000049,2024-07-08,Premium,Germany,Partner,3,125,0.068,54,19.0,4.01,0.0,375,349.5,227.4,122.1
TXN-000050,2026-01-03,Plus,India,Direct,2,75,0.113,110,18.0,4.1,1.0,150,133.05,66.24,66.81
TXN-000051,2025-07-29,Plus,UK,Online,7,75,0.04,3,26.0,3.68,4.0,525,504.0,237.22,266.78
TXN-000052,2025-08-26,Plus,UK,Direct,6,75,0.03,73,26.0,3.9,-0.0,450,436.5,229.16,207.34
TXN-000053,2026-05-25,Core,UK,Online,3,45,0.068,222,9.0,4.63,0.0,135,125.82,80.36,45.46
TXN-000054,2025-06-05,Plus,UAE,Direct,4,75,0.073,176,13.0,4.75,0.0,300,278.1,171.65,106.45
TXN-000055,2024-08-01,Core,Germany,Online,7,45,0.099,295,30.0,4.72,7.0,315,283.82,176.32,107.5
TXN-000056,2025-01-23,Premium,UK,Online,2,125,0.093,91,6.0,4.69,4.0,250,226.75,148.92,77.83
TXN-000057,2025-11-21,Plus,India,Direct,6,75,0.004,242,23.0,3.08,0.0,450,448.2,277.9,170.3
TXN-000058,2024-05-17,Premium,UK,Direct,2,125,0.061,208,18.0,3.56,0.0,250,234.75,134.68,100.07
TXN-000059,2025-01-01,Premium,US,Online,6,125,0.09,178,33.0,3.01,-0.0,750,682.5,346.35,336.15
TXN-000060,2026-05-04,Plus,UK,Partner,2,75,0.002,80,24.0,4.98,1.0,150,149.7,89.91,59.79
TXN-000061,2025-01-30,Enterprise,Germany,Direct,4,245,0.035,46,14.0,3.99,2.0,980,945.7,613.67,332.03
TXN-000062,2026-02-25,Core,UAE,Direct,1,45,0.009,105,22.0,3.51,3.0,45,44.6,28.7,15.9
TXN-000063,2026-02-23,Premium,US,Direct,3,125,0.014,181,10.0,3.15,-0.0,375,369.75,160.97,208.78
TXN-000064,2025-08-20,Core,UK,Partner,3,45,0.053,281,26.0,3.93,1.0,135,127.84,79.02,48.82
TXN-000065,2026-05-20,Core,UK,Online,1,45,0.068,58,5.0,5.0,4.0,45,41.94,21.77,20.17
TXN-000066,2024-05-04,Plus,UK,Online,2,75,0.014,90,16.0,3.4,3.0,150,147.9,75.51,72.39
TXN-000067,2026-05-29,Enterprise,UK,Direct,7,245,0.051,274,27.0,4.46,4.0,1715,1627.54,1050.11,577.43
TXN-000068,2025-05-13,Plus,India,Online,3,75,0.028,98,31.0,3.73,4.0,225,218.7,115.86,102.84
TXN-000069,2025-01-19,Enterprise,Germany,Partner,4,245,0.044,137,18.0,4.03,-0.0,980,936.88,611.75,325.13
TXN-000070,2024-07-27,Core,UK,Direct,3,45,0.024,256,22.0,4.16,0.0,135,131.76,69.35,62.41
TXN-000071,2025-11-29,Core,UK,Direct,4,45,0.015,16,3.0,4.07,2.0,180,177.3,104.82,72.48
TXN-000072,2024-04-07,Premium,US,Direct,3,125,0.122,28,24.0,3.73,3.0,375,329.25,156.73,172.52
TXN-000073,2025-06-18,Enterprise,India,Partner,1,245,0.078,105,16.0,3.6,7.0,245,225.89,99.94,125.95
TXN-000074,2024-09-07,Plus,UAE,Online,3,75,0.087,151,7.0,4.63,0.0,225,205.42,91.3,114.12
TXN-000075,2026-07-11,Premium,UK,Direct,9,125,0.037,26,22.0,3.88,1.0,1125,1083.38,468.49,614.89
TXN-000076,2024-08-10,Plus,UK,Direct,8,75,0.028,109,12.0,3.37,5.0,600,583.2,385.21,197.99
TXN-000077,2024-11-17,Core,Germany,Direct,1,45,0.047,194,16.0,4.23,0.0,45,42.88,19.18,23.7
TXN-000078,2026-01-04,Plus,UK,Partner,3,75,0.059,204,17.0,5.0,6.0,225,211.73,101.11,110.62
TXN-000079,2025-12-07,Plus,UAE,Partner,1,75,0.049,118,33.0,4.12,2.0,75,71.32,35.24,36.08
TXN-000080,2025-05-12,Premium,UK,Online,3,125,0.012,306,25.0,4.3,3.0,375,370.5,163.93,206.57
TXN-000081,2025-12-02,Plus,India,Online,5,75,0.052,89,7.0,2.99,1.0,375,355.5,215.93,139.57
TXN-000082,2024-02-14,Plus,Germany,Online,1,75,0.036,145,8.0,3.4,0.0,75,72.3,33.89,38.41
TXN-000083,2024-04-22,Plus,UK,Direct,2,75,0.1,167,12.0,3.8,5.0,150,135.0,83.61,51.39
TXN-000084,2026-04-14,Enterprise,India,Direct,2,245,0.011,41,25.0,3.86,0.0,490,484.61,267.51,217.1
TXN-000085,2025-11-20,Plus,UK,Direct,2,75,0.003,131,11.0,4.04,7.0,150,149.55,78.25,71.3
TXN-000086,2025-10-09,Plus,UK,Partner,2,75,0.076,282,25.0,4.39,0.0,150,138.6,74.9,63.7
TXN-000087,2024-05-25,Premium,UK,Direct,5,125,0.034,194,7.0,4.27,4.0,625,603.75,367.52,236.23
TXN-000088,2024-01-04,Core,US,Online,1,45,0.078,284,10.0,5.0,2.0,45,41.49,26.31,15.18
TXN-000089,2025-04-09,Plus,US,Partner,1,75,0.044,141,23.0,4.49,3.0,75,71.7,47.43,24.27
TXN-000090,2024-12-22,Core,US,Direct,4,45,0.05,83,33.0,3.49,4.0,180,171.0,107.96,63.04
TXN-000091,2025-08-26,Plus,UK,Direct,3,75,0.089,7,2.0,4.01,6.0,225,204.98,115.83,89.15
TXN-000092,2025-11-30,Core,UK,Online,5,45,0.017,121,32.0,4.02,5.0,225,221.18,125.36,95.82
TXN-000093,2025-05-02,Premium,India,Direct,3,125,0.065,130,31.0,3.63,5.0,375,350.62,227.44,123.18
TXN-000094,2026-07-22,Plus,India,Online,3,75,0.08,42,23.0,3.02,2.0,225,207.0,124.18,82.82
TXN-000095,2024-01-04,Core,UK,Partner,2,45,0.097,206,4.0,3.77,0.0,90,81.27,38.26,43.01
TXN-000096,2025-05-10,Enterprise,US,Online,3,245,0.095,283,3.0,4.44,2.0,735,665.18,291.41,373.77
TXN-000097,2024-10-25,Enterprise,UAE,Online,3,245,0.007,120,22.0,4.37,1.0,735,729.86,433.84,296.02
TXN-000098,2025-11-08,Enterprise,Germany,Direct,5,245,0.016,18,27.0,3.9,-0.0,1225,1205.4,797.65,407.75
TXN-000099,2025-12-21,Premium,UK,Online,5,125,0.052,78,32.0,3.55,0.0,625,592.5,295.62,296.88
TXN-000100,2024-11-19,Core,UK,Direct,4,45,0.064,196,23.0,3.7,0.0,180,168.48,111.76,56.72
TXN-000101,2024-02-12,Enterprise,India,Online,4,245,0.041,243,4.0,3.34,1.0,980,939.82,622.12,317.7
TXN-000102,2025-10-18,Enterprise,US,Online,3,245,0.02,218,22.0,4.35,0.0,735,720.3,457.84,262.46
TXN-000103,2025-09-14,Enterprise,UK,Direct,5,245,0.122,226,25.0,4.07,1.0,1225,1075.55,676.76,398.79
TXN-000104,2026-03-10,Core,India,Online,1,45,0.075,31,18.0,5.0,-0.0,45,41.62,18.28,23.34
TXN-000105,2024-07-30,Core,UAE,Partner,2,45,0.005,100,15.0,4.09,1.0,90,89.55,50.6,38.95
TXN-000106,2026-01-07,Premium,UK,Online,4,125,0.074,49,5.0,4.97,1.0,500,463.0,259.51,203.49
TXN-000107,2024-08-13,Enterprise,UK,Partner,3,245,0.033,226,7.0,3.26,2.0,735,710.74,358.61,352.13
TXN-000108,2025-07-04,Core,India,Online,1,45,0.039,49,13.0,3.13,1.0,45,43.24,25.01,18.23
TXN-000109,2026-05-03,Premium,India,Direct,2,125,0.043,292,28.0,5.0,3.0,250,239.25,155.46,83.79
TXN-000110,2026-05-03,Enterprise,UK,Partner,5,245,0.032,254,31.0,3.69,0.0,1225,1185.8,737.38,448.42
TXN-000111,2026-03-06,Enterprise,US,Partner,3,245,0.003,55,26.0,3.66,3.0,735,732.8,456.33,276.47
TXN-000112,2024-07-19,Premium,India,Partner,1,125,0.081,34,15.0,4.86,2.0,125,114.88,66.56,48.32
TXN-000113,2024-06-25,Premium,UAE,Online,3,125,0.097,75,3.0,4.58,4.0,375,338.62,158.18,180.44
TXN-000114,2024-10-31,Plus,US,Direct,4,75,0.008,317,26.0,3.63,1.0,300,297.6,197.52,100.08
TXN-000115,2024-09-14,Core,India,Online,1,45,0.009,206,19.0,4.63,2.0,45,44.6,23.14,21.46
TXN-000116,2025-10-27,Premium,UK,Direct,1,125,0.006,227,20.0,4.56,1.0,125,124.25,71.31,52.94
TXN-000117,2024-01-21,Enterprise,India,Partner,1,245,0.117,220,7.0,4.62,0.0,245,216.34,104.92,111.42
TXN-000118,2025-07-18,Plus,Germany,Direct,4,75,0.076,248,8.0,4.37,8.0,300,277.2,159.2,118.0
TXN-000119,2025-08-21,Premium,US,Direct,3,125,0.044,154,19.0,4.02,0.0,375,358.5,171.14,187.36
TXN-000120,2024-04-11,Premium,UK,Online,1,125,0.097,318,30.0,3.67,3.0,125,112.88,56.68,56.2
TXN-000121,2025-07-05,Plus,US,Direct,3,75,0.106,252,9.0,3.62,0.0,225,201.15,115.19,85.96
TXN-000122,2025-04-12,Premium,UAE,Online,2,125,0.136,168,30.0,4.28,1.0,250,216.0,95.99,120.01
TXN-000123,2024-08-01,Enterprise,UAE,Direct,4,245,0.046,238,26.0,3.46,1.0,980,934.92,566.76,368.16
TXN-000124,2024-07-09,Plus,UK,Online,1,75,0.024,188,23.0,4.22,2.0,75,73.2,34.35,38.85
TXN-000125,2025-07-26,Core,Germany,Direct,1,45,0.076,103,13.0,4.93,3.0,45,41.58,23.92,17.66
TXN-000126,2025-09-25,Core,UK,Online,6,45,0.005,39,28.0,3.19,5.0,270,268.65,142.55,126.1
TXN-000127,2026-04-17,Plus,US,Partner,1,75,0.086,272,8.0,3.96,5.0,75,68.55,40.72,27.83
TXN-000128,2026-01-20,Core,UK,Partner,2,45,0.069,98,26.0,2.89,0.0,90,83.79,36.45,47.34
TXN-000129,2024-09-07,Core,India,Online,2,45,0.062,90,12.0,4.05,0.0,90,84.42,50.49,33.93
TXN-000130,2025-12-03,Plus,UK,Direct,6,75,0.023,203,11.0,4.6,-0.0,450,439.65,254.03,185.62
TXN-000131,2026-05-07,Enterprise,UAE,Direct,3,245,0.097,187,30.0,5.0,0.0,735,663.7,292.19,371.51
TXN-000132,2025-09-03,Enterprise,UK,Online,4,245,0.06,134,24.0,3.51,5.0,980,921.2,423.49,497.71
TXN-000133,2024-06-29,Premium,India,Direct,4,125,0.019,89,19.0,3.85,5.0,500,490.5,234.94,255.56
TXN-000134,2025-05-16,Core,India,Direct,2,45,0.035,296,6.0,3.33,1.0,90,86.85,39.89,46.96
TXN-000135,2025-06-29,Premium,India,Online,5,125,0.028,104,17.0,3.81,2.0,625,607.5,364.73,242.77
TXN-000136,2024-12-05,Enterprise,UK,Online,6,245,0.097,224,4.0,5.0,0.0,1470,1327.41,643.91,683.5
TXN-000137,2025-02-17,Plus,UAE,Online,2,75,0.041,229,9.0,4.03,2.0,150,143.85,95.7,48.15
TXN-000138,2025-10-09,Core,Germany,Online,7,45,0.095,70,31.0,4.8,1.0,315,285.08,129.8,155.28
TXN-000139,2026-01-17,Premium,UAE,Online,2,125,0.057,223,9.0,2.75,0.0,250,235.75,111.2,124.55
TXN-000140,2025-12-29,Premium,US,Direct,5,125,0.065,228,21.0,4.25,2.0,625,584.38,339.13,245.25
TXN-000141,2025-03-10,Core,UK,Partner,3,45,0.041,223,28.0,4.22,6.0,135,129.46,56.77,72.69
TXN-000142,2025-07-21,Plus,UK,Partner,3,75,0.059,181,29.0,4.49,1.0,225,211.73,114.54,97.19
TXN-000143,2025-04-09,Core,US,Partner,1,45,0.125,150,15.0,4.06,-0.0,45,39.38,17.15,22.23
TXN-000144,2025-03-11,Core,Germany,Online,3,45,0.028,200,12.0,3.44,1.0,135,131.22,77.12,54.1
TXN-000145,2025-02-01,Enterprise,UAE,Partner,1,245,0.004,164,12.0,4.3,4.0,245,244.02,128.65,115.37
TXN-000146,2025-02-15,Enterprise,UK,Direct,5,245,0.106,287,9.0,4.23,1.0,1225,1095.15,565.74,529.41
TXN-000147,2025-06-29,Premium,UK,Direct,1,125,0.006,297,7.0,3.83,0.0,125,124.25,78.3,45.95
TXN-000148,2024-04-21,Core,UK,Partner,2,45,0.022,43,5.0,2.56,0.0,90,88.02,55.26,32.76
TXN-000149,2025-05-25,Premium,US,Direct,1,125,0.0,89,19.0,3.72,0.0,125,125.0,79.22,45.78
TXN-000150,2026-04-11,Core,India,Direct,3,45,0.033,236,22.0,3.51,3.0,135,130.54,65.99,64.55
TXN-000151,2024-02-09,Plus,Germany,Direct,1,75,0.078,157,2.0,3.57,4.0,75,69.15,33.05,36.1
TXN-000152,2024-05-14,Core,UAE,Online,8,45,0.064,200,27.0,3.95,6.0,360,336.96,201.87,135.09
